homeid,year_month,consumo_kwh,uso_horario_pico,cantidad_equipos,tipo_inmueble,horas_alto_consumo,month_coverage,peak_coverage,peak_energy_share,complete_day_ratio,observed_kwh,source_member
47,2016-09,115.546342,True,6,Departamento,1,0.976492,0.979708,0.323324,0.9,112.830111,sensordata/home47_hall654_sensor1216c1220_electric-mains_electric-combined.csv.gz
47,2017-04,138.518068,True,6,Departamento,2,0.95196,0.970185,0.318521,0.866667,131.863697,sensordata/home47_hall654_sensor1216c1220_electric-mains_electric-combined.csv.gz
59,2016-12,231.323349,True,6,Departamento,3,0.970856,0.959267,0.260351,0.83871,224.5816,sensordata/home59_hall687_sensor1506c1508_electric-mains_electric-combined.csv.gz
59,2017-01,222.896912,True,6,Departamento,3,0.949347,0.960076,0.307836,0.83871,211.606514,sensordata/home59_hall687_sensor1506c1508_electric-mains_electric-combined.csv.gz
59,2017-02,190.494564,True,6,Departamento,3,0.958817,0.981741,0.312835,0.928571,182.649498,sensordata/home59_hall687_sensor1506c1508_electric-mains_electric-combined.csv.gz
59,2017-03,204.324798,True,6,Departamento,3,0.96579,0.980099,0.297061,0.935484,197.334916,sensordata/home59_hall687_sensor1506c1508_electric-mains_electric-combined.csv.gz
59,2017-04,178.796672,True,6,Departamento,2,0.98769,0.992148,0.272527,1.0,176.595721,sensordata/home59_hall687_sensor1506c1508_electric-mains_electric-combined.csv.gz
59,2017-08,198.474323,True,6,Departamento,2,0.989455,0.97778,0.288057,0.967742,196.381465,sensordata/home59_hall687_sensor1506c1508_electric-mains_electric-combined.csv.gz
59,2017-09,181.676059,True,6,Departamento,2,0.989882,0.991176,0.302189,1.0,179.83778,sensordata/home59_hall687_sensor1506c1508_electric-mains_electric-combined.csv.gz
61,2016-12,210.051136,True,8,Casa,3,0.967163,0.974516,0.298919,0.903226,203.153657,sensordata/home61_hall693_sensor1563c1569_electric-mains_electric-combined.csv.gz
61,2017-01,206.793583,True,8,Casa,3,0.929748,0.955952,0.340608,0.903226,192.265917,sensordata/home61_hall693_sensor1563c1569_electric-mains_electric-combined.csv.gz
